condition,seed,method,scene,auc,cnr,n_target,n_bg,n_valid,file
150k_1mm,43,asr_q75,u_pb_soil,0.9999617925090952,6.271293649133151,648,1656,2304,150k_1mm/seed_43/asr_q75/u_pb_soil.npz
150k_1mm,43,asr_q75,u_pb_concrete,0.9998237663645518,5.88193516241988,648,1655,2303,150k_1mm/seed_43/asr_q75/u_pb_concrete.npz
150k_1mm,43,asr_q75,u_explosive_soil,0.5915311698574581,0.22186202807892355,648,1656,2304,150k_1mm/seed_43/asr_q75/u_explosive_soil.npz
150k_1mm,43,asr_q75,u_explosive_concrete,0.6957759874678303,0.45093874782738147,648,1655,2303,150k_1mm/seed_43/asr_q75/u_explosive_concrete.npz
150k_1mm,43,asr_q75,u_void_soil,0.908803378660464,1.3546482388612406,648,1656,2304,150k_1mm/seed_43/asr_q75/u_void_soil.npz
150k_1mm,43,asr_q75,u_void_concrete,0.896994468300829,1.230125100414147,648,1656,2304,150k_1mm/seed_43/asr_q75/u_void_concrete.npz
150k_1mm,43,mlsd_median,u_pb_soil,0.998779224071092,5.645841607310024,648,1656,2304,150k_1mm/seed_43/mlsd_median/u_pb_soil.npz
150k_1mm,43,mlsd_median,u_pb_concrete,0.9985108397447366,5.4879939932326725,648,1656,2304,150k_1mm/seed_43/mlsd_median/u_pb_concrete.npz
150k_1mm,43,mlsd_median,u_explosive_soil,0.6898278612751237,0.5162280664857113,648,1656,2304,150k_1mm/seed_43/mlsd_median/u_explosive_soil.npz
150k_1mm,43,mlsd_median,u_explosive_concrete,0.8100118536410807,0.7845658591272976,648,1656,2304,150k_1mm/seed_43/mlsd_median/u_explosive_concrete.npz
150k_1mm,43,mlsd_median,u_void_soil,0.9044486565873442,0.9969928941060963,648,1656,2304,150k_1mm/seed_43/mlsd_median/u_void_soil.npz
150k_1mm,43,mlsd_median,u_void_concrete,0.9113190481518779,1.0289360523532787,648,1655,2303,150k_1mm/seed_43/mlsd_median/u_void_concrete.npz
150k_1mm,43,namt_3p,u_pb_soil,1.0,12.932079749670482,648,1637,2285,150k_1mm/seed_43/namt_3p/u_pb_soil.npz
150k_1mm,43,namt_3p,u_pb_concrete,0.9999971718817168,13.194907371746844,648,1637,2285,150k_1mm/seed_43/namt_3p/u_pb_concrete.npz
150k_1mm,43,namt_3p,u_explosive_soil,0.9030381352722866,1.6834511919655242,648,1630,2278,150k_1mm/seed_43/namt_3p/u_explosive_soil.npz
150k_1mm,43,namt_3p,u_explosive_concrete,0.9588723220769789,2.6549977343704843,648,1632,2280,150k_1mm/seed_43/namt_3p/u_explosive_concrete.npz
150k_1mm,43,namt_3p,u_void_soil,0.9817156171322838,2.9373266032855305,648,1628,2276,150k_1mm/seed_43/namt_3p/u_void_soil.npz
150k_1mm,43,namt_3p,u_void_concrete,0.9778595272157504,2.869573101904699,648,1631,2279,150k_1mm/seed_43/namt_3p/u_void_concrete.npz
150k_1mm,43,namt_4p,u_pb_soil,0.9999981145878112,13.279006525789843,648,1637,2285,150k_1mm/seed_43/namt_4p/u_pb_soil.npz
150k_1mm,43,namt_4p,u_pb_concrete,1.0,14.682586690249927,648,1637,2285,150k_1mm/seed_43/namt_4p/u_pb_concrete.npz
150k_1mm,43,namt_4p,u_explosive_soil,0.9153923350753617,1.7446658527299026,648,1630,2278,150k_1mm/seed_43/namt_4p/u_explosive_soil.npz
150k_1mm,43,namt_4p,u_explosive_concrete,0.9570747473372064,2.6220189646411423,648,1632,2280,150k_1mm/seed_43/namt_4p/u_explosive_concrete.npz
150k_1mm,43,namt_4p,u_void_soil,0.9865405177905178,3.336933884156027,648,1628,2276,150k_1mm/seed_43/namt_4p/u_void_soil.npz
150k_1mm,43,namt_4p,u_void_concrete,0.9874802249623422,3.796002770575566,648,1631,2279,150k_1mm/seed_43/namt_4p/u_void_concrete.npz
150k_1mm,44,poca,u_pb_soil,0.966183574879227,3.0041669455618645,648,1656,2304,150k_1mm/seed_44/poca/u_pb_soil.npz
150k_1mm,44,poca,u_pb_concrete,0.9665824238086718,2.1628210050461347,648,1656,2304,150k_1mm/seed_44/poca/u_pb_concrete.npz
150k_1mm,44,poca,u_explosive_soil,0.5323533577861275,0.22395990545845845,648,1656,2304,150k_1mm/seed_44/poca/u_explosive_soil.npz
150k_1mm,44,poca,u_explosive_concrete,0.5780718822687422,0.294329072729757,648,1656,2304,150k_1mm/seed_44/poca/u_explosive_concrete.npz
150k_1mm,44,poca,u_void_soil,0.6491234940882473,0.35801537268253675,648,1655,2303,150k_1mm/seed_44/poca/u_void_soil.npz
150k_1mm,44,poca,u_void_concrete,0.6807298189896821,0.39490793975035854,648,1656,2304,150k_1mm/seed_44/poca/u_void_concrete.npz
150k_1mm,44,asr_q75,u_pb_soil,0.9999421879079482,6.239250759447448,648,1655,2303,150k_1mm/seed_44/asr_q75/u_pb_soil.npz
150k_1mm,44,asr_q75,u_pb_concrete,0.9998294641259617,6.00767425424873,648,1656,2304,150k_1mm/seed_44/asr_q75/u_pb_concrete.npz
150k_1mm,44,asr_q75,u_explosive_soil,0.6172531796650629,0.2283958518314709,648,1655,2303,150k_1mm/seed_44/asr_q75/u_explosive_soil.npz
