condition,method,scene,n,auc_mean,auc_std,cnr_mean,cnr_std
100k_1mm,asr_q75,u_explosive_concrete,5,0.6411037949239489,0.006186108186337048,0.31286875441762324,0.016094861594328037
100k_1mm,asr_q75,u_explosive_soil,5,0.5254746817500799,0.017409752149243327,0.04034379713594073,0.03510844158574485
100k_1mm,asr_q75,u_pb_concrete,5,0.9993788699807917,0.0004180906677792768,5.401144718885995,0.1481409559057381
100k_1mm,asr_q75,u_pb_soil,5,0.9998017904347016,8.637078558549966e-05,5.709401017999431,0.11429866959409184
100k_1mm,asr_q75,u_void_concrete,5,0.8342719054999623,0.010360386961329045,0.9236303562791367,0.03803764498970832
100k_1mm,asr_q75,u_void_soil,5,0.8188333983426098,0.015818460694442996,0.8601575953517706,0.05383264317501614
100k_1mm,mlsd_median,u_explosive_concrete,5,0.7552229783485563,0.029315717688461022,0.6404384342720744,0.05944146060459464
100k_1mm,mlsd_median,u_explosive_soil,5,0.6757572040097743,0.018488748320317976,0.4879007084176446,0.043775560979847326
100k_1mm,mlsd_median,u_pb_concrete,5,0.9962420402671486,0.0014471361667786951,4.945189813165365,0.2384013349164748
100k_1mm,mlsd_median,u_pb_soil,5,0.9972959192421774,0.0005430829842060199,5.236967308126015,0.21129366000085487
100k_1mm,mlsd_median,u_void_concrete,5,0.8724612530845418,0.016573610915765372,0.8404064502218102,0.09207085791597175
100k_1mm,mlsd_median,u_void_soil,5,0.8547033619999939,0.012726190736079333,0.85880895982087,0.03892720414269163
100k_1mm,namt_3p,u_explosive_concrete,5,0.9250418199650623,0.012873661359245663,2.226267891523912,0.2465431681110962
100k_1mm,namt_3p,u_explosive_soil,5,0.8875371690970993,0.022616046254699623,1.7510565366891733,0.2680309475979731
100k_1mm,namt_3p,u_pb_concrete,5,0.9999403799829005,4.337295422994139e-05,11.163178579683589,1.259208445415307
100k_1mm,namt_3p,u_pb_soil,5,0.9999753920229439,2.8926225311007113e-05,11.39445754246145,0.6677110637808189
100k_1mm,namt_3p,u_void_concrete,5,0.9624559505088268,0.008176048881198383,3.1101186194750228,0.31773705147019016
100k_1mm,namt_3p,u_void_soil,5,0.9662280247719173,0.011453365969989394,2.9231015275821557,0.2933363846294677
100k_1mm,namt_4p,u_explosive_concrete,5,0.924425608247958,0.009932754021817427,2.231763133914265,0.24308017222718595
100k_1mm,namt_4p,u_explosive_soil,5,0.8718267761783078,0.019149653129652406,1.5946604355737262,0.24145223781729233
100k_1mm,namt_4p,u_pb_concrete,5,0.9999654202753682,2.4841007983957223e-05,11.395521795637814,1.0153311847797504
100k_1mm,namt_4p,u_pb_soil,5,0.9999765913647926,3.062160701471686e-05,12.369397339722003,0.8920074346033466
100k_1mm,namt_4p,u_void_concrete,5,0.9730800347774796,0.0034766164181259766,3.752909664736032,0.36203488693351676
100k_1mm,namt_4p,u_void_soil,5,0.9734256485066247,0.0069110753561700015,3.309105812921125,0.28871035362444913
100k_1mm,poca,u_explosive_concrete,5,0.5506385621446589,0.01181245387452038,0.21264261105529267,0.03196265862259426
100k_1mm,poca,u_explosive_soil,5,0.4950799219595205,0.010100705877441567,0.13419358195729025,0.028329378393845795
100k_1mm,poca,u_pb_concrete,5,0.9558246046542168,0.005682034445455805,2.5843782966008733,0.39057557940789694
100k_1mm,poca,u_pb_soil,5,0.9605002776278626,0.0055875419989680946,2.566624960617524,0.35989722242492883
100k_1mm,poca,u_void_concrete,5,0.6362659376906314,0.010521436812549622,0.3464043821695467,0.06482433726278009
100k_1mm,poca,u_void_soil,5,0.618883536522446,0.010600088652026943,0.27602323384676175,0.024274070167837735
150k_1mm,asr_q75,u_explosive_concrete,5,0.6871681478256184,0.010556526596378762,0.44061558212845287,0.04189639127010948
150k_1mm,asr_q75,u_explosive_soil,5,0.5758536336706201,0.02953103983019681,0.15938536263052722,0.062382714839441605
150k_1mm,asr_q75,u_pb_concrete,5,0.9998462012086033,6.67507925247164e-05,5.879915726902533,0.07789539393897783
